country_code,year,tourist_arrivals,co2_pc,life_exp,broadband_p100,mobile_p100,hosp_beds_p1000,tour_receipts_pctexp,pm25,renew_energy_pct,rnd_pct_gdp,population,gdp_pc,urban_pct,region,income_group,country_name
CYM,1995,1044000.0,11.4622695125032,73.597,,7.725138711,,,,0.0,,32743,,100.0,Latin America & Caribbean,High income,Cayman Islands
CYP,1995,2253000.0,6.293262441196,76.583,,6.773274417,,43.8101673960213,28.3033965388024,3.3,,862695,15261.4169921875,68.1691720632769,Europe & Central Asia,High income,Cyprus
CZE,1995,,11.9906932656729,73.0748780487805,,0.474218514,,,24.5310219617591,5.3,,10327253,5865.29460556726,74.7092872936794,Europe & Central Asia,High income,Czechia
DEU,1995,14847000.0,10.579466630515,76.4219512195122,,4.59177788,9.6999998093,,21.2204574845062,2.3,,81678051,31747.2449398447,80.0465631829882,Europe & Central Asia,High income,Germany
DJI,1995,21000.0,0.482815345469774,56.234,,0.0,,2.77159764338936,34.0347783504243,32.2,,633074,786.201866748458,75.4038861624412,Middle East & North Africa,Lower middle income,Djibouti
DMA,1995,203000.0,1.13039457459926,70.832,,0.0,3.6,39.0845798579996,13.0430479215414,15.7,,69469,3951.72267086358,64.8928347425124,Latin America & Caribbean,Upper middle income,Dominica
DNK,1995,,10.9245408267288,75.2126829268293,,15.70646066,4.9000000954,5.62181194633968,15.9477594533198,7.5,,5233373,35321.0980773087,85.0012191836328,Europe & Central Asia,High income,Denmark
DOM,1995,1806000.0,2.01274614905967,69.394,,0.711318386,,42.1790259356709,13.4964865254488,22.3,,7888115,2109.16940728689,57.1317099454393,Latin America & Caribbean,Upper middle income,Dominican Republic
DZA,1995,520000.0,3.29689131353406,67.691,,0.016472352,,,13.5078699986784,0.4,,28470191,1466.94806760415,56.0131170977738,Middle East & North Africa,Lower middle income,Algeria
ECU,1995,440000.0,1.99655410917433,71.349,,0.470346789,,6.06220398642836,39.6174349610401,20.4,,11590514,2108.00698245316,58.218469145091,Latin America & Caribbean,Upper middle income,Ecuador
EGY,1995,3133000.0,1.50238233481525,65.214,,0.011482554,,22.2775263951735,53.407098479889,9.4,,65652622,916.326617700876,42.7019009364527,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
